Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Gads;Sezona
1000.0;143.47;1;3;918.7;2737.5;9233.0;1970;30.0;2;2;33.7;33.7;5;1;56.7425;24.394167;2024;1
35000.0;170.78;2;3;614.3;1550.6;5278.0;1983;25.0;1;1;47.9;47.9;6;2;57.261944;24.415833;2023;4
47500.0;63.54;1;5;1089.9;5234.7;16737.0;1969;16.0;1;1;59.9;59.9;7;3;56.787222;23.941944;2024;1
12250.0;57.54;1;5;743.7;3651.4;11035.0;1975;17.0;2;2;38.6;35.8;6;2;56.858611;24.349722;2024;1
8850.0;54.88;1;5;1242.0;6058.9;19928.0;1972;25.0;4;4;51.9;48.8;3;1;56.858611;24.349722;2024;1
15000.0;53.02;2;5;878.6;4029.4;13280.0;1985;10.0;5;5;33.4;33.4;6;1;56.858611;24.349722;2024;1
2000.0;302.69;1;3;918.7;2737.5;9233.0;1970;30.0;1;1;71.1;63.9;12;3;56.7425;24.394167;2024;1
23000.0;24.87;1;6;1200.4;5177.1;17081.0;1966;27.0;3;3;26.4;26.4;4;1;56.787222;23.941944;2024;1
230000.0;482.35;1;2;1198.8;1818.8;6298.0;2023;0.0;1;2;156.4;139.1;10;4;56.900833;24.047778;2024;1
28000.0;99.47;1;3;391.3;1120.5;4118.0;1968;40.0;1;1;48.3;48.3;7;2;57.261944;24.415833;2024;1
89000.0;103.93;1;5;776.9;3439.6;12897.0;2004;18.0;1;1;60.7;60.7;8;3;56.875;24.119167;2024;2
2000.0;25.95;1;5;1414.6;6880.0;19804.0;1970;16.0;4;4;49.5;46.5;9;2;56.832222;24.226667;2024;1
66000.0;44.25;1;9;1324.0;9942.5;34654.0;1978;17.0;3;3;59.9;56.1;9;3;56.858611;24.349722;2024;2
13000.0;43.29;1;6;551.1;2692.9;8702.0;1969;20.0;2;2;49.4;46.3;7;2;56.787222;23.941944;2024;2
62900.0;99.47;1;3;391.3;1120.5;4118.0;1968;40.0;1;1;48.3;48.3;7;2;57.261944;24.415833;2024;2
66000.0;82.63;1;4;630.6;2291.9;7526.0;1985;25.0;3;3;54.7;51.2;7;2;56.875;24.119167;2024;2
2000.0;42.34;1;5;932.1;4522.5;14945.0;1975;30.0;4;4;17.6;17.6;3;1;56.858611;24.349722;2024;2
58000.0;56.89;1;5;702.8;3651.0;10996.0;1972;30.0;3;3;62.3;59.5;8;3;56.787222;23.941944;2024;2
73000.0;63.2;1;5;1030.0;5279.8;17151.0;1973;30.0;1;1;58.2;58.2;8;3;56.858611;24.349722;2024;2
18000.0;38.12;1;5;1030.0;5279.8;17151.0;1973;30.0;1;1;35.8;35.8;5;2;56.858611;24.349722;2024;1
96775.0;80.46;2;4;886.1;3623.9;12164.0;2022;0.0;2;2;54.3;50.6;4;2;57.076944;24.323611;2024;2
62000.0;33.85;1;5;1309.2;6424.4;23142.0;2006;14.0;3;3;37.0;37.0;4;2;56.858611;24.349722;2024;2
45000.0;49.14;1;5;1089.9;5234.7;16737.0;1969;16.0;4;4;48.3;45.5;7;2;56.787222;23.941944;2024;2
87000.0;99.27;1;4;1850.3;6568.3;24858.0;2018;0.0;3;3;49.5;49.5;3;2;56.900833;24.047778;2024;2
25000.0;59.49;1;3;521.4;1136.1;4168.0;1997;0.0;2;2;45.0;42.0;7;3;57.155;24.857778;2024;2
203100.0;189.33;2;5;1044.8;4309.1;13652.0;2023;0.0;2;2;81.6;73.1;6;3;56.900833;24.047778;2024;2
7000.0;44.03;1;5;932.1;4522.5;14945.0;1975;30.0;3;3;18.3;18.3;4;1;56.858611;24.349722;2024;2
173000.0;170.77;2;5;1044.8;4309.1;13652.0;2023;0.0;4;4;73.6;65.2;5;3;56.900833;24.047778;2024;2
23000.0;38.28;1;4;522.2;1672.4;6959.0;1964;14.0;4;4;29.6;29.6;2;2;56.787222;23.941944;2024;2
100000.0;201.57;2;3;384.8;1104.0;3947.0;1984;22.0;3;3;73.2;62.2;7;3;57.076944;24.323611;2024;2
24000.0;100.72;1;10;352.0;2669.8;9405.0;1975;31.0;7;7;37.1;34.4;5;1;56.858611;24.349722;2024;2
55000.0;99.88;1;5;715.1;3082.3;10736.0;1989;10.0;2;2;54.8;51.5;7;2;56.832222;24.226667;2024;2
11667.55;49.6;1;5;715.0;3446.3;11133.0;1982;16.0;4;4;32.6;29.9;6;1;56.875;24.119167;2013;3
140000.0;54.88;2;6;1041.8;6523.3;21493.0;2005;15.0;5;5;74.9;71.3;5;3;56.875;24.119167;2024;2
79800.0;56.29;1;5;2396.9;9684.6;33228.0;2007;13.0;1;1;53.2;39.4;3;1;57.261944;24.415833;2024;2
60000.0;136.78;1;3;833.1;2643.4;9763.0;2008;13.0;3;3;54.5;43.2;5;2;57.155;24.857778;2024;2
38250.0;101.54;1;2;312.0;426.0;1785.0;1954;35.0;2;2;44.8;44.8;6;2;56.787222;23.941944;2024;2
62000.0;146.75;1;2;254.6;492.0;1668.0;1961;20.0;2;2;49.6;49.6;5;2;57.155;24.857778;2024;2
37000.0;14.47;1;9;901.0;6803.8;23862.0;1979;17.0;1;1;39.6;37.2;7;1;56.858611;24.349722;2024;2
24000.0;27.23;1;4;1359.2;5036.6;17234.0;1980;15.0;2;2;32.8;32.8;5;1;56.832222;24.226667;2024;2
32000.0;29.84;1;6;1096.9;5558.8;17369.0;1970;31.0;4;4;27.8;27.8;4;1;56.787222;23.941944;2024;2
32500.0;35.86;1;5;1272.6;5556.6;21438.0;1972;30.0;1;1;52.0;44.8;7;2;56.787222;23.941944;2024;2
85000.0;161.18;1;5;999.3;4093.6;13390.0;1987;18.0;1;1;81.0;77.5;8;3;56.875;24.119167;2024;2
112000.0;42.47;3;6;1563.7;5960.1;19292.0;2008;13.0;5;5;57.9;51.3;4;2;56.900833;24.047778;2024;2
32000.0;79.18;1;5;643.2;3171.8;10260.0;1994;0.0;5;5;56.5;48.5;7;2;57.0925;24.546389;2024;2
68500.0;104.9;1;3;557.9;1758.9;5722.0;1973;23.0;1;1;59.5;52.3;8;2;57.076944;24.323611;2024;2
15000.0;68.91;1;5;865.3;4324.6;13928.0;1980;29.0;1;1;41.7;34.0;8;1;56.858611;24.349722;2024;2
179000.0;263.38;2;2;444.0;604.8;2007.0;2019;0.0;1;2;151.2;120.8;13;5;57.155;24.857778;2024;2
35000.0;99.47;1;4;818.5;3048.7;11240.0;1991;26.0;4;4;66.3;62.9;10;3;56.744444;24.721389;2024;2
75000.0;71.42;2;4;885.8;3632.8;12172.0;2021;0.0;3;3;48.2;44.4;4;2;57.076944;24.323611;2024;2
85000.0;104.06;1;4;637.8;2032.3;7337.0;2007;13.0;4;4;45.8;42.4;4;2;56.900833;24.047778;2024;2
79500.0;99.47;1;4;1850.3;6568.3;24858.0;2018;0.0;2;2;49.6;49.6;3;2;56.900833;24.047778;2024;2
29900.0;122.9;1;3;436.3;1338.6;4503.0;1963;30.0;1;1;36.1;36.1;5;2;56.858611;24.349722;2024;2
5000.0;32.6;1;5;932.1;4522.5;14945.0;1975;30.0;5;5;17.9;17.9;4;1;56.858611;24.349722;2024;2
58000.0;80.04;1;3;551.2;1725.5;5895.0;1969;30.0;2;2;57.9;57.9;7;3;57.155;24.857778;2024;2
227000.0;664.56;1;2;442.1;693.6;2345.0;2007;0.0;1;2;230.7;204.2;14;4;56.900833;24.047778;2024;2
94618.0;70.82;2;4;886.1;3623.9;12164.0;2022;0.0;1;1;47.8;44.1;4;2;57.076944;24.323611;2024;2
20000.0;26.5;1;5;1249.5;6013.9;19137.0;1971;30.0;4;4;36.4;29.2;5;1;56.787222;23.941944;2024;2
88500.0;41.56;1;5;875.5;3356.8;12551.0;1978;15.0;5;5;72.3;68.8;10;3;56.836667;24.496111;2024;2
50000.0;36.57;1;5;1102.9;4999.7;16827.0;1983;10.0;2;2;54.0;51.0;7;2;56.7425;24.394167;2024;2
57000.0;28.01;1;5;898.5;4003.8;14053.0;1981;29.0;5;5;46.6;46.6;6;2;56.836667;24.496111;2024;2
40000.0;133.5;1;2;531.0;1215.8;4724.0;1953;40.0;1;1;48.8;48.8;6;2;56.875;24.119167;2024;2
59000.0;83.07;1;5;1318.0;6040.4;21023.0;1974;30.0;5;5;67.0;59.9;8;3;56.858611;24.349722;2024;2
100000.0;43.72;3;6;1563.7;5960.1;19292.0;2008;13.0;3;3;59.6;56.1;4;2;56.900833;24.047778;2024;2
37000.0;29.92;1;10;1015.0;9432.4;28853.0;1976;41.0;5;5;36.1;36.1;6;1;56.858611;24.349722;2024;2
62000.0;78.14;1;9;364.7;2679.1;9729.0;1971;46.0;8;8;53.3;47.1;10;2;56.858611;24.349722;2024;2
7000.0;69.36;1;2;312.3;605.7;2715.0;1925;50.0;1;1;32.4;32.4;5;1;57.155;24.857778;2024;2
55000.0;33.05;1;5;1076.2;5172.6;17084.0;1970;18.0;5;5;58.4;55.2;8;3;56.832222;24.226667;2024;2
62500.0;83.91;1;5;1156.0;5492.4;16758.0;1973;30.0;4;4;62.1;59.4;6;3;56.858611;24.349722;2024;2
1999.0;46.8;1;5;1102.9;4999.7;16827.0;1983;10.0;2;2;69.1;62.5;8;3;56.7425;24.394167;2024;2
30000.0;104.15;1;10;352.0;2669.8;9405.0;1975;31.0;4;4;39.1;33.8;6;1;56.858611;24.349722;2024;2
41000.0;46.59;1;5;1030.0;5279.8;17151.0;1973;30.0;3;3;45.6;42.9;5;2;56.858611;24.349722;2024;2
195000.0;209.4;2;5;1044.8;4309.1;13652.0;2023;0.0;2;2;95.0;86.6;8;4;56.900833;24.047778;2024;2
28500.0;19.64;1;5;601.9;2846.7;9815.0;1964;25.0;3;3;30.3;28.4;5;1;56.787222;23.941944;2024;2
