Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;mat_223;mat_238;mat_214;mat_212;mat_215;mat_232;mat_243;mat_537;mat_213;mat_211;mat_545;mat_227;mat_216;mat_226;mat_224;mat_222;mat_231;mat_244;mat_241;mat_235;mat_234
78500.0;129.1;1;3;770.5;2590.1;8006.0;1980;15;1;1;92.5;85.2;9;4;56.858611;24.349722;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117000.0;58.76;3;6;1563.7;5963.3;19292.0;2008;0;5;5;80.1;72.4;6;3;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16000.0;16.34;1;9;520.3;3676.6;14214.0;1966;30;4;4;31.6;31.6;4;1;56.787222;23.941944;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25000.0;37.5;1;5;1020.2;5562.0;16376.0;1967;30;3;3;48.1;45.1;7;2;57.0925;24.546389;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17687.0;84.96;1;5;1369.8;6101.9;20989.0;1983;20;2;2;54.6;51.1;8;2;57.076944;24.323611;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86160.0;250.9;1;4;360.6;1532.6;4747.0;2015;0;3;3;71.7;64.7;5;3;57.155;24.857778;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12000.0;23.34;1;5;589.8;2147.6;8444.0;1967;30;3;3;26.3;26.3;4;1;56.787222;23.941944;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17000.0;37.88;1;5;1027.0;5308.3;16810.0;1972;30;5;5;31.0;28.3;6;1;56.858611;24.349722;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30000.0;50.86;1;5;753.7;3519.8;12091.0;1993;10;3;3;40.1;33.0;6;1;56.875;24.119167;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35000.0;66.51;1;5;1635.5;7341.8;24205.0;1988;10;3;3;56.2;53.3;7;2;56.858611;24.349722;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
