Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
10500.0;1;5;2477.0;1985;15;38.6;6;2;56.499444;25.878333;3.0;2020;0;0;0;1
5000.0;1;5;3518.1;1975;30;61.5;8;3;56.499444;25.878333;2.0;2020;1;0;0;0
7600.0;1;5;5923.5;1976;20;47.2;6;2;56.499444;25.878333;4.0;2020;1;0;0;0
4230.0;1;5;2487.0;1984;20;46.1;7;2;56.499444;25.878333;4.0;2020;1;0;0;0
3699.47;1;5;2598.4;1985;15;28.7;4;1;56.499444;25.878333;1.0;2013;0;0;1;0
9000.0;1;5;2311.0;1981;25;44.5;5;1;56.499444;25.878333;4.0;2020;1;0;0;0
9040.0;1;5;2535.2;1991;20;47.5;7;2;56.499444;25.878333;4.0;2020;1;0;0;0
22000.0;1;5;2597.5;1985;27;60.7;6;3;56.499444;25.878333;4.0;2020;1;0;0;0
5300.0;1;3;1702.7;1987;20;62.6;11;2;56.499444;25.878333;1.0;2017;0;0;0;1
4200.0;2;3;659.1;1961;40;48.0;5;2;56.499444;25.878333;3.0;2020;1;0;0;0
6100.0;1;5;4918.0;1990;25;54.1;7;2;56.499444;25.878333;5.0;2019;0;0;0;1
1422.87;1;5;3518.1;1975;30;38.8;6;2;56.499444;25.878333;3.0;2020;0;0;1;0
9000.0;1;5;4952.9;1976;20;60.6;8;3;56.499444;25.878333;5.0;2020;0;0;1;0
1000.0;1;5;4977.0;1977;30;28.9;5;1;56.499444;25.878333;1.0;2020;0;0;1;0
5300.0;1;5;2477.0;1985;15;37.8;6;2;56.499444;25.878333;5.0;2020;1;0;0;0
12390.0;1;3;1660.1;1980;20;61.9;12;2;56.499444;25.878333;2.0;2015;0;1;0;0
4000.0;1;5;4977.0;1977;30;45.9;7;2;56.499444;25.878333;4.0;2020;0;0;1;0
6000.0;1;5;3339.0;1976;30;58.4;7;3;56.499444;25.878333;1.0;2020;0;0;1;0
15000.0;1;5;3850.3;1978;29;54.0;5;2;56.499444;25.878333;5.0;2020;0;0;1;0
4500.0;1;5;2253.4;1986;25;36.3;4;1;56.499444;25.878333;4.0;2020;0;0;1;0
25000.0;1;5;2499.1;1980;20;61.3;8;3;56.499444;25.878333;3.0;2020;0;0;1;0
5000.0;1;5;3371.9;1981;20;39.0;6;2;56.499444;25.878333;2.0;2019;0;0;1;0
4500.0;1;5;5036.4;1982;20;29.4;4;1;56.499444;25.878333;1.0;2020;0;0;1;0
6500.0;1;5;2477.0;1985;15;46.1;7;2;56.499444;25.878333;2.0;2020;0;0;0;1
10000.0;1;5;4449.5;1984;20;38.1;4;1;56.499444;25.878333;1.0;2020;0;0;1;0
6650.0;1;5;2846.1;1994;10;69.0;8;3;56.499444;25.878333;4.0;2020;0;0;1;0
1000.0;1;5;3371.9;1981;20;39.0;6;2;56.499444;25.878333;2.0;2020;0;0;1;0
3500.0;1;5;2477.0;1985;15;38.9;6;2;56.499444;25.878333;4.0;2020;0;0;1;0
7100.0;1;5;5983.1;1989;10;45.7;6;2;56.499444;25.878333;2.0;2019;0;1;0;0
7440.0;1;5;2472.3;1986;20;39.2;6;2;56.499444;25.878333;3.0;2020;0;0;1;0
5000.0;1;5;3518.1;1975;30;28.8;4;1;56.499444;25.878333;1.0;2020;0;1;0;0
4000.0;1;3;1702.7;1987;20;62.7;11;2;56.499444;25.878333;2.0;2020;0;1;0;0
16000.0;1;5;2560.8;1987;10;61.1;10;4;56.499444;25.878333;5.0;2020;0;1;0;0
9000.0;1;3;1813.2;1963;40;29.2;4;1;56.499444;25.878333;3.0;2020;0;1;0;0
17000.0;1;3;1702.7;1987;20;77.7;12;3;56.499444;25.878333;1.0;2020;0;1;0;0
2000.0;1;5;7562.4;1985;10;54.1;7;2;56.499444;25.878333;4.0;2020;0;1;0;0
13400.0;1;5;4918.0;1990;25;90.0;11;4;56.499444;25.878333;5.0;2020;0;1;0;0
20000.0;1;3;1091.3;1985;20;61.4;10;2;56.499444;25.878333;1.0;2020;0;1;0;0
20000.0;1;3;1656.9;1990;20;60.6;8;3;56.499444;25.878333;3.0;2020;0;1;0;0
5000.0;1;5;2499.1;1980;20;31.4;5;1;56.499444;25.878333;2.0;2020;0;1;0;0
15000.0;1;5;2535.2;1991;20;62.2;9;4;56.499444;25.878333;5.0;2020;0;1;0;0
4531.91;1;5;2253.4;1986;25;36.2;4;1;56.499444;25.878333;1.0;2020;0;1;0;0
3000.0;1;5;5036.4;1982;20;39.0;6;2;56.499444;25.878333;5.0;2020;0;1;0;0
6000.0;1;5;4693.0;1984;10;54.6;7;2;56.499444;25.878333;5.0;2020;0;1;0;0
5000.0;1;5;2499.1;1980;20;45.5;7;2;56.499444;25.878333;4.0;2020;0;1;0;0
14000.0;1;5;2527.0;1989;10;46.7;7;2;56.499444;25.878333;5.0;2020;0;1;0;0
17500.0;1;3;1662.8;1987;10;60.7;11;3;56.499444;25.878333;1.0;2020;0;1;0;0
13500.0;1;5;4918.0;1990;25;66.7;8;3;56.499444;25.878333;1.0;2020;0;1;0;0
6000.0;1;5;3518.1;1975;30;38.8;6;2;56.499444;25.878333;3.0;2020;0;1;0;0
