Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
15000.0;1;4;2225.5;1973;30.0;71.4;6;3;56.966667;23.153333;1.0;2024;0;1;0;0
20954.19;1;5;3983.3;1976;30.0;48.3;7;2;56.966667;23.153333;2.0;2024;0;0;1;0
34000.0;1;5;3632.2;1977;29.0;40.0;6;2;56.966667;23.153333;3.0;2024;0;1;0;0
27500.0;1;3;1196.6;1952;45.0;41.5;6;2;56.68;22.568333;2.0;2024;0;1;0;0
25000.0;1;5;2595.1;1970;27.0;35.4;6;2;57.246667;22.588611;2.0;2024;0;1;0;0
48000.0;1;6;4571.4;1984;29.0;67.3;8;3;57.246667;22.588611;2.0;2024;0;1;0;0
15000.0;1;2;532.8;1953;70.0;51.1;10;2;56.68;22.568333;2.0;2024;0;1;0;0
67000.0;1;4;3324.9;1983;15.0;66.4;8;3;56.535;21.166111;1.0;2024;0;1;0;0
85000.0;1;6;6637.7;1993;15.0;98.3;9;4;56.966667;23.153333;3.0;2024;0;1;0;0
37000.0;1;4;2533.4;1989;26.0;53.6;7;2;56.535;21.166111;2.0;2024;0;1;0;0
1500.0;5;2;192.3;1960;60.0;30.5;4;1;56.966667;23.153333;1.0;2024;0;1;0;0
17000.0;1;5;4221.8;1992;15.0;34.6;5;1;57.246667;22.588611;1.0;2024;0;1;0;0
53000.0;2;2;541.9;1956;40.0;71.3;7;4;56.68;22.568333;1.0;2024;0;1;0;0
29990.0;1;5;4009.9;1978;30.0;47.9;6;2;56.966667;23.153333;5.0;2024;0;1;0;0
3000.0;2;4;2021.7;1990;10.0;69.8;11;3;56.966667;23.153333;1.0;2024;0;1;0;0
7000.0;1;5;4921.9;1970;20.0;73.6;10;3;56.666389;22.493611;2.0;2024;0;1;0;0
32000.0;1;4;2395.1;1975;20.0;51.0;7;2;56.966667;23.153333;1.0;2024;0;1;0;0
18000.0;1;3;1483.7;1974;10.0;35.3;4;1;56.966667;23.153333;1.0;2024;0;1;0;0
32000.0;1;3;1887.6;1972;28.0;52.4;7;2;56.666389;22.493611;2.0;2024;0;1;0;0
36000.0;1;3;1371.5;1972;25.0;52.7;8;2;57.246667;22.588611;2.0;2024;0;1;0;0
41000.0;1;5;2893.5;1970;30.0;70.4;8;3;56.666389;22.493611;4.0;2024;0;1;0;0
33915.0;1;5;5109.7;1978;30.0;55.5;10;2;56.966667;23.153333;5.0;2024;0;1;0;0
30000.0;1;5;2162.6;1979;30.0;66.9;8;3;57.246667;22.588611;3.0;2024;0;1;0;0
19200.0;1;5;2601.5;1969;30.0;41.6;6;2;56.666389;22.493611;3.0;2024;0;1;0;0
