Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
4500.0;1;6;5468.8;1970;25;36.5;5;1;57.246667;22.588611;2.0;2020;0;0;1;0
23500.0;1;5;4154.6;1983;10;52.9;6;2;56.535;21.166111;2.0;2020;0;0;1;0
23500.0;1;5;3139.5;1994;5;36.9;5;1;56.966667;23.153333;2.0;2020;0;0;1;0
18000.0;1;5;2547.9;1969;25;49.2;7;2;56.966667;23.153333;5.0;2020;0;0;1;0
40000.0;2;4;2021.7;1990;10;77.9;12;3;56.966667;23.153333;2.0;2020;0;0;1;0
10000.0;1;5;3989.9;1975;30;44.7;6;2;57.246667;22.588611;1.0;2020;0;0;1;0
10000.0;1;4;1588.4;1969;35;38.5;6;2;56.666389;22.493611;1.0;2020;0;0;1;0
15000.0;1;5;5266.2;1976;20;67.8;8;3;57.246667;22.588611;1.0;2020;0;0;1;0
6000.0;5;2;217.7;1959;50;50.4;9;2;56.535;21.166111;1.0;2020;0;1;0;0
5000.0;1;3;862.3;1970;15;45.6;8;2;56.968611;21.971667;3.0;2020;0;0;1;0
15426.0;1;5;4921.9;1970;20;57.0;7;3;56.666389;22.493611;1.0;2020;1;0;0;0
20000.0;1;5;4195.2;1990;15;48.6;6;2;57.246667;22.588611;1.0;2020;0;0;1;0
30000.0;1;5;2864.2;1985;15;66.9;8;3;56.666389;22.493611;5.0;2020;0;1;0;0
6850.0;1;5;4010.1;1983;15;45.5;6;2;56.966667;23.153333;5.0;2020;0;1;0;0
10500.0;1;5;2287.8;1986;10;38.3;5;1;56.666389;22.493611;2.0;2020;0;1;0;0
20000.0;1;4;2006.4;1993;0;53.1;9;2;56.666389;22.493611;3.0;2020;0;1;0;0
10000.0;1;5;3091.1;1992;10;68.5;8;3;57.246667;22.588611;1.0;2020;0;1;0;0
14500.0;1;5;4156.8;1983;28;37.4;5;1;56.535;21.166111;3.0;2020;0;1;0;0
