Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums
29000.0;1;5;714.4;3609.8;11203.0;1973;17.0;1;1;43.7;43.7;6;2;57.0925;24.546389
34000.0;1;5;926.1;3951.3;14460.0;1990;5.0;5;5;53.7;50.6;7;2;57.0925;24.546389
105000.0;1;6;1540.0;5567.6;19115.0;1988;29.0;4;4;79.9;65.5;9;3;57.155;24.857778
52500.0;1;9;1165.1;9183.3;31403.0;2006;17.0;8;8;55.1;51.1;8;2;56.787222;23.941944
135000.0;1;4;2029.3;6282.6;23701.0;2008;19.0;2;2;80.4;77.1;6;3;56.900833;24.047778
116800.0;1;4;569.9;1843.5;6652.0;2005;14.0;3;4;78.7;76.0;9;3;56.858611;24.349722
12980.0;1;5;710.0;3662.9;11079.0;1983;23.0;4;4;39.8;36.8;6;2;57.0925;24.546389
119000.0;1;3;1056.0;2650.2;8411.0;2005;11.0;3;3;75.5;71.1;8;3;56.900833;24.047778
126000.0;1;6;1227.7;6930.7;20375.0;2006;14.0;4;4;93.2;76.5;10;3;57.155;24.857778
23500.0;1;5;926.1;3951.3;14460.0;1990;5.0;5;5;32.4;32.4;5;1;57.0925;24.546389
6000.0;1;5;954.3;4776.1;15445.0;1980;30.0;3;3;47.4;46.8;9;2;56.723056;24.805833
65500.0;1;3;1002.8;3033.6;10226.0;1983;15.0;3;3;53.9;47.2;9;2;57.155;24.857778
72000.0;1;5;1123.0;5360.5;16282.0;2008;13.0;1;1;56.7;56.7;4;2;56.836667;24.496111
24000.0;1;4;575.1;2326.3;7879.0;1972;25.0;1;1;38.9;38.9;5;2;57.155;24.857778
39000.0;1;6;911.8;4930.9;16456.0;1980;16.0;5;5;42.4;35.0;7;1;56.787222;23.941944
8000.0;1;5;954.3;4776.1;15445.0;1980;30.0;3;3;47.6;47.0;9;2;56.723056;24.805833
140000.0;1;4;2000.2;6247.3;24554.0;2007;14.0;3;3;80.2;76.9;8;3;56.900833;24.047778
32000.0;1;5;912.6;3532.2;13896.0;1976;30.0;1;1;51.7;49.9;10;2;56.723056;24.805833
96000.0;1;6;1227.7;6930.7;20375.0;2006;14.0;3;3;152.4;84.0;6;3;57.155;24.857778
20000.0;1;5;879.6;3236.9;13163.0;1977;15.0;4;4;52.8;51.2;9;2;56.723056;24.805833
83000.0;1;4;852.0;2726.9;9866.0;2008;14.0;2;2;47.0;43.7;4;2;56.900833;24.047778
98000.0;1;4;852.0;2726.9;9866.0;2008;14.0;4;4;58.4;53.9;4;2;56.900833;24.047778
22400.0;1;3;643.7;1743.4;5949.0;1966;30.0;2;2;47.3;47.3;6;2;57.155;24.857778
43000.0;1;4;940.6;2652.0;8665.0;1989;29.0;2;2;43.3;38.7;7;1;57.155;24.857778
54000.0;1;10;310.8;2525.4;8239.0;1989;15.0;6;6;64.1;61.4;9;3;56.787222;23.941944
110000.0;2;4;2771.0;8428.2;29618.0;2007;13.0;1;1;89.4;81.5;8;3;56.900833;24.047778
22000.0;1;3;514.0;1713.5;5300.0;1986;15.0;2;2;35.1;28.0;6;1;56.723056;24.805833
70000.0;1;5;453.8;1863.2;6093.0;1991;26.0;3;3;69.1;62.1;8;3;56.858611;24.349722
47000.0;1;3;601.0;1670.5;5526.0;1970;30.0;1;1;55.7;55.7;4;2;56.723056;24.805833
135000.0;1;4;1825.7;5625.1;21383.0;2006;14.0;3;3;75.4;72.2;7;3;56.900833;24.047778
29000.0;1;3;418.0;1338.0;4354.0;1978;30.0;3;3;52.0;47.9;10;2;57.155;24.857778
123500.0;2;4;2771.0;8428.2;29618.0;2007;13.0;4;4;69.6;65.1;4;2;56.900833;24.047778
42500.0;1;5;709.9;3662.5;11079.0;1990;5.0;1;1;57.7;57.7;6;3;57.0925;24.546389
32000.0;1;5;900.0;3502.0;13868.0;1977;30.0;3;3;66.0;62.3;9;3;56.723056;24.805833
35100.0;1;4;1540.3;5679.2;21039.0;1981;27.0;1;1;36.9;36.9;4;1;57.155;24.857778
30000.0;1;5;872.7;3996.5;13564.0;1975;30.0;1;1;69.8;62.7;10;3;57.155;24.857778
39000.0;1;3;430.0;1145.4;4154.0;1965;30.0;3;3;39.6;39.6;5;2;57.155;24.857778
128000.0;1;4;343.0;1473.7;4891.0;2011;0.0;1;1;73.8;73.8;5;3;57.261944;24.415833
126000.0;2;4;2771.0;8428.2;29618.0;2007;13.0;1;1;86.3;81.5;7;3;56.900833;24.047778
139000.0;1;4;1336.5;5492.4;18611.0;2007;19.0;3;3;101.7;96.7;9;4;56.858611;24.349722
