Darījuma datums;Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Platums;Garums
19.12.2019;218370.06;137.23;1;4;570.3;1717.2;5917.0;2019;0;4;4;124.2;97.5;7;2;56.9409497;24.0621428
06.12.2019;235000.0;48.62;1;10;3104.1;16152.9;54008.0;2014;0;8;8;113.2;108.6;9;4;56.9710469;24.1237162
13.12.2019;7200.0;22.94;1;4;748.2;3013.4;10288.0;1961;30;4;4;12.4;12.4;4;1;57.0298932;24.1000913
04.10.2019;32950.0;12.08;2;5;277.1;1134.3;5094.0;1912;50;4;4;26.3;26.3;3;1;56.9564799;24.1463196
11.12.2019;129600.0;63.3;1;5;1608.9;6955.6;23495.0;2019;0;3;3;76.8;72.3;7;3;56.9556201;24.0534049
19.12.2019;96500.0;76.3;1;5;1438.5;5337.7;17524.0;2019;0;2;2;49.8;46.1;6;3;56.9556183;24.1854622
20.12.2019;73000.0;73.54;1;5;1438.5;5337.7;17524.0;2019;0;3;3;48.0;44.3;4;2;56.9556183;24.1854622
23.12.2019;15000.0;48.31;1;5;451.2;2222.7;7060.0;1972;20;1;1;48.7;47.5;7;2;56.9571384;24.0328038
02.01.2020;5000.0;61.19;6;2;261.9;518.4;2047.0;1900;65;1;1;21.7;21.7;2;1;56.9923881;24.1274745
30.12.2019;4200.0;65.75;1;5;897.2;3952.8;13324.0;1975;10;1;1;53.4;51.7;7;2;57.0275788;24.0448852
14.08.2019;64500.0;19.63;4;5;539.9;2143.2;10335.0;1880;24;-1;1;41.8;41.8;3;1;56.962974;24.1281688
19.12.2019;48900.0;39.32;1;5;1362.2;6074.1;26699.0;1951;30;5;5;45.6;45.6;6;2;56.9962497;24.1232233
19.12.2019;2500.0;8.44;1;5;813.2;3929.2;12751.0;1970;30;3;3;43.8;33.7;5;1;57.0270672;24.0383848
19.12.2019;142370.06;89.94;1;4;570.3;1717.2;5917.0;2019;0;1;1;81.4;71.6;5;3;56.9409497;24.0621428
18.12.2019;151000.0;61.86;1;9;441.9;3030.0;11220.0;2019;0;6;6;87.7;82.5;6;3;56.9692355;24.2377072
16.12.2019;164740.06;86.95;1;4;570.3;1717.2;5917.0;2019;0;2;2;78.7;71.2;5;3;56.9409497;24.0621428
23.12.2019;56500.0;94.41;1;5;814.9;4011.8;12609.0;1969;30;1;1;67.5;64.9;8;3;56.9700323;24.0662584
20.12.2019;103500.0;102.96;1;5;1438.5;5337.7;17524.0;2019;0;2;2;67.2;63.5;7;3;56.9556183;24.1854622
23.12.2019;124000.0;46.84;1;9;441.9;3030.0;11220.0;2019;0;8;8;66.4;62.4;6;3;56.9692355;24.2377072
20.12.2019;117500.0;63.22;1;5;1608.9;6955.6;23495.0;2019;0;1;1;76.7;72.2;7;3;56.9556201;24.0534049
18.12.2019;184000.0;77.66;1;9;441.9;3030.0;11220.0;2019;0;9;9;110.1;104.9;8;4;56.9692355;24.2377072
