Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
3700.0;2;3;1843.5;1913;50;30.1;3;1;3.0;2019;0;1;0;0;57.0030637;24.1219991
24999.0;1;13;4968.7;1977;25;38.9;5;1;7.0;2020;0;0;0;1;56.9039755;24.1985773
3000.0;2;2;264.7;1915;55;22.5;2;1;2.0;2019;0;1;0;0;56.91653;24.1253507
25000.0;2;5;1917.1;1914;60;24.4;2;1;3.0;2020;0;0;0;1;56.9472752;24.1418625
35000.0;1;12;5346.3;1983;10;48.8;5;1;11.0;2020;0;0;0;1;56.9519129;24.1813053
30000.0;1;5;3690.4;1969;25;39.6;6;2;2.0;2020;0;0;0;1;56.9628672;24.1767663
6580.5;1;10;12170.4;1988;5;46.0;6;1;4.0;1998;0;1;0;0;56.9478772;24.0214189
21600.0;1;5;4225.1;1988;20;42.2;6;1;4.0;2020;0;0;0;1;56.9404373;24.1873473
31500.0;2;10;3671.7;1988;10;44.7;5;1;9.0;2020;0;0;0;1;56.9664241;24.0541091
14000.0;1;7;5909.9;1987;15;50.4;7;2;3.0;2020;0;0;0;1;56.9497931;24.135193
34000.0;1;5;7735.7;1968;30;50.2;8;2;5.0;2020;0;0;0;1;56.9126522;24.1781796
73000.0;1;10;8754.0;2007;0;72.1;6;2;3.0;2020;0;0;0;1;56.9534596;24.19075
49400.0;1;5;3978.2;1970;30;48.8;7;2;3.0;2020;0;0;0;1;56.968139;24.0525521
28000.0;1;5;7679.0;1967;35;38.4;7;2;2.0;2020;0;0;0;1;56.9091959;24.189863
34675.0;1;10;8894.2;1974;20;36.4;6;1;3.0;2020;0;0;0;1;56.9642489;24.0237934
17000.0;2;5;1917.1;1914;60;27.6;2;1;4.0;2020;0;0;0;1;56.9472752;24.1418625
72000.0;1;9;2101.0;1985;10;78.7;11;4;8.0;2020;0;0;0;1;56.9382761;24.2089485
28800.0;2;6;5561.8;2006;0;38.8;5;2;3.0;2020;0;0;0;1;56.912843;24.1197164
25000.0;1;5;3735.9;1967;40;33.1;5;1;2.0;2020;0;0;0;1;56.9112878;24.1844909
3480.0;1;5;6141.5;1964;30;18.6;1;1;4.0;2020;0;0;0;1;56.9684446;24.1816474
29170.03;1;9;16850.3;1974;25;39.4;6;1;3.0;2020;0;0;0;1;56.9647186;24.1786968
37730.0;1;5;5878.2;1972;20;59.6;8;3;4.0;2020;0;0;0;1;56.9533808;24.0254248
62500.0;1;9;7425.1;1987;15;64.1;10;3;6.0;2020;0;0;0;1;56.9427698;24.223974
13950.0;1;5;5466.6;1971;25;47.2;7;2;3.0;2020;0;0;0;1;56.9572001;24.1811385
9000.0;1;2;375.5;1910;35;34.6;3;2;1.0;2020;0;0;0;1;57.0204343;24.129548
47500.0;1;5;4885.2;1972;30;66.2;9;3;4.0;2020;0;0;0;1;56.9536371;24.0261885
7000.0;1;5;6015.9;1980;40;17.6;1;1;2.0;2020;0;0;0;1;56.9695959;24.0691233
15500.0;1;16;6710.6;1990;10;39.1;5;1;5.0;2020;0;0;0;1;56.9325736;24.2048357
52000.0;1;10;4821.2;1974;25;62.3;9;3;4.0;2020;0;0;0;1;56.9598692;24.0080022
8900.0;1;3;1056.3;1960;30;35.2;6;1;2.0;2020;0;0;0;1;57.017731;24.2082808
100000.0;5;6;2571.3;2007;10;173.3;8;3;1.0;2020;0;0;0;1;56.9410133;24.004761
25300.0;1;5;3067.8;1982;10;34.7;5;1;2.0;2019;0;0;0;1;57.0369729;24.0946868
125000.0;1;7;4512.6;2013;0;79.6;7;3;5.0;2020;0;0;0;1;56.9649527;24.0155743
50000.0;1;18;7786.4;1986;10;56.4;7;1;9.0;2020;0;0;0;1;56.9611569;24.1707719
42500.0;1;5;9704.7;1969;30;49.7;9;2;4.0;2020;0;0;0;1;56.9867062;24.2228791
70000.0;1;9;4905.1;1988;10;62.7;10;3;2.0;2020;0;0;0;1;56.9441336;24.216111
52000.0;1;11;13271.0;1989;5;57.7;9;2;10.0;2020;0;0;0;1;56.9459295;24.022859
25000.0;1;5;3882.5;1974;30;50.4;7;2;4.0;2020;0;0;0;1;56.966836;24.0168535
31300.0;1;5;5110.2;1966;30;36.2;6;2;1.0;2020;0;0;0;1;56.916544;24.1762588
2480.0;2;2;323.6;1900;65;53.6;6;2;1.0;2019;0;1;0;0;57.0366294;24.0429716
1010.0;1;3;2073.7;1950;30;13.4;2;1;3.0;2019;0;0;0;1;57.0298211;24.1116191
1150.0;1;2;274.5;1850;50;24.2;2;1;2.0;2019;0;1;0;0;57.0284339;24.1151006
54000.0;1;5;3854.3;1977;30;69.5;8;3;1.0;2020;0;0;0;1;56.9588949;24.150039
53245.0;1;5;18366.9;2007;3;46.3;4;2;2.0;2020;0;0;0;1;56.9562778;24.2433428
1100.0;1;3;2073.7;1950;30;12.2;3;1;3.0;2019;0;1;0;0;57.0298211;24.1116191
73600.0;1;9;7167.3;1994;0;101.2;12;4;1.0;2020;0;0;0;1;56.9109051;24.1094561
27800.0;1;5;5063.0;1968;20;25.6;4;1;2.0;2020;0;0;0;1;56.9314119;24.1630458
33414.0;1;5;4051.1;1970;20;38.6;6;2;1.0;2020;0;0;0;1;56.9685638;24.055247
12844.5;1;5;2666.0;1972;20;29.3;5;1;3.0;2020;0;0;0;1;56.9558718;24.0492819
40000.0;1;5;3024.4;1980;10;50.7;8;2;2.0;2020;0;0;0;1;57.0351601;24.0967279
21000.0;2;12;4421.1;1972;25;33.2;4;1;10.0;2020;0;0;0;1;56.9132998;24.1771495
65000.0;1;4;1933.8;2004;0;69.0;5;2;1.0;2020;0;0;0;1;56.9590698;24.1699842
33000.0;1;5;1957.6;1960;35;29.0;4;1;4.0;2020;0;0;0;1;56.9705379;24.1020869
53000.0;1;9;13467.9;1973;30;61.8;9;3;4.0;2020;0;0;0;1;56.9578862;24.1716962
52300.0;1;9;2446.7;1975;20;49.5;5;2;7.0;2020;0;0;0;1;56.9260319;24.1713677
21500.0;1;5;4419.9;1983;10;43.0;6;1;5.0;2020;0;0;0;1;57.0341289;24.0943869
31000.0;1;5;3359.0;1963;40;46.7;7;2;3.0;2020;0;0;0;1;57.0204493;24.1353652
36500.0;1;9;10101.8;1972;20;50.6;7;2;9.0;2020;0;0;0;1;56.9248937;24.1659534
20000.0;1;9;2572.6;1990;20;55.3;7;2;3.0;2019;0;1;0;0;56.9613319;24.182617
172840.0;1;9;32586.4;2005;0;118.4;6;3;4.0;2020;0;0;0;1;56.955551;24.0988276
25000.0;1;5;3569.5;1972;20;29.7;5;1;4.0;2020;0;0;0;1;56.9577254;24.1751596
6000.0;2;2;180.0;1971;80;19.9;2;1;1.0;2020;0;0;0;1;56.9603208;24.1474906
44500.0;1;5;6751.6;1974;15;48.3;8;2;5.0;2020;0;0;0;1;56.9669132;24.0101711
30500.0;1;5;4450.6;1983;14;43.0;6;1;2.0;2020;0;0;0;1;57.0345975;24.0942389
29500.0;1;10;2097.0;1984;15;32.0;5;1;3.0;2020;0;0;0;1;56.9353317;24.2074403
38500.0;1;5;2842.9;1963;25;41.4;6;2;2.0;2020;0;0;0;1;56.9674092;24.1804438
75300.0;1;9;4815.3;1972;25;75.9;9;4;7.0;2020;0;0;0;1;56.9603023;24.1864463
22900.0;1;5;3418.5;1964;30;40.6;5;2;4.0;2020;0;0;0;1;56.9691359;24.1862666
47000.0;1;5;3900.8;1973;20;50.4;7;2;5.0;2020;0;0;0;1;56.9626043;24.0027839
30670.0;1;5;4374.1;1979;30;42.4;7;1;3.0;2020;0;0;0;1;56.9591137;24.1984167
41000.0;1;5;5027.1;1976;25;49.1;7;2;1.0;2020;0;0;0;1;56.9605152;23.9989401
