Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
17800.0;1;5;5115.0;1989;30.0;44.9;6;2;3.0;2024;0;0;0;1;56.9441401;24.1742149
27500.0;1;5;2995.7;1964;28.0;30.5;4;1;2.0;2024;0;0;0;1;56.9143737;24.1849224
27000.0;2;5;10005.0;1983;30.0;70.7;10;4;2.0;2023;0;0;0;1;56.9322436;24.1820903
88000.0;1;5;7599.7;2006;13.0;62.9;5;2;1.0;2024;0;0;0;1;56.9362289;24.0167488
49000.0;1;9;11937.1;1981;29.0;49.4;8;2;7.0;2024;0;0;0;1;56.9345958;24.1975426
42700.0;1;5;5785.2;1972;18.0;49.0;7;2;1.0;2024;0;0;0;1;56.9535667;24.0281109
22000.0;1;5;4785.2;1974;30.0;50.5;7;2;5.0;2024;0;0;0;1;56.9626401;24.0163578
19800.0;1;5;5464.8;1968;30.0;32.3;5;1;3.0;2024;0;0;0;1;56.9217011;24.1790772
34955.23;1;12;4405.2;1976;31.0;33.4;4;1;7.0;2024;0;0;0;1;56.9198762;24.1726617
7500.0;1;3;436.7;1923;55.0;19.3;2;1;1.0;2024;0;0;0;1;57.0466655;24.1732167
43000.0;5;1;125.6;1958;25.0;41.0;6;2;1.0;2024;0;0;0;1;56.9376652;24.0167345
130720.0;1;4;1311.5;1997;15.0;202.2;14;4;3.0;2023;0;1;0;0;56.9809809;24.189452
58000.0;1;9;4753.6;1981;15.0;77.5;12;4;2.0;2024;0;0;0;1;56.9327063;24.1992916
50000.0;1;18;7786.4;1986;10.0;61.7;9;2;6.0;2023;0;0;1;0;56.9611569;24.1707719
15000.0;1;5;3216.3;1978;30.0;50.0;8;2;1.0;2024;0;0;0;1;56.9712298;24.2315255
60500.0;1;10;9908.7;1985;28.0;51.7;8;2;9.0;2024;0;0;0;1;56.9389779;24.2110222
25000.0;1;5;4374.9;1979;30.0;42.2;7;1;5.0;2023;0;0;0;1;56.9591137;24.1984167
44000.0;1;4;2294.6;1963;27.0;40.7;6;2;1.0;2024;0;0;0;1;56.994619;24.1291136
15100.0;1;3;812.1;1955;45.0;62.2;6;2;2.0;2024;0;0;0;1;57.0448214;24.0917003
59000.0;1;5;4988.7;1967;35.0;58.9;9;3;4.0;2024;0;0;0;1;56.9098911;24.1846753
82000.0;1;10;12583.3;1988;28.0;76.2;8;2;7.0;2024;0;0;0;1;56.9475514;24.0193806
31000.0;1;5;5152.9;1968;20.0;25.8;4;1;2.0;2024;0;0;0;1;56.9107481;24.1913188
19700.0;1;5;3624.6;1963;33.0;44.5;7;2;5.0;2024;0;0;0;1;56.9677582;24.0478677
22500.0;1;2;458.0;1962;30.0;34.4;6;1;2.0;2024;0;0;0;1;57.0337641;24.0997904
5300.0;1;5;6141.5;1964;30.0;18.7;1;1;4.0;2024;0;0;0;1;56.9684446;24.1816474
40000.0;1;5;4182.6;1989;26.0;41.8;6;1;5.0;2024;0;0;0;1;56.9558612;24.1850946
35000.0;1;11;6921.0;1990;27.0;60.4;9;2;2.0;2024;0;0;0;1;56.9465664;24.0243752
