Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
2000.0;37.02;1;6;7190.1;1980;29.0;46.9;6;2;56.966667;23.153333;2.0;2024;1;0;0;0
9700.0;22.84;1;5;4797.0;1984;15.0;69.2;9;3;56.68;22.568333;1.0;2023;0;1;0;0
7500.0;54.87;1;2;398.0;1890;60.0;52.5;4;2;56.968611;21.971667;2.0;2024;0;0;0;1
50000.0;105.62;1;5;4711.7;1980;20.0;65.7;8;3;57.246667;22.588611;1.0;2024;1;0;0;0
32000.0;163.9;1;3;1678.4;1983;15.0;66.5;9;3;56.535;21.166111;3.0;2024;1;0;0;0
17145.61;148.49;1;3;1029.3;1962;25.0;84.7;5;3;56.68;22.568333;3.0;2010;0;1;0;0
17300.0;135.11;2;2;601.4;1890;60.0;85.3;8;3;56.966667;23.153333;2.0;2024;1;0;0;0
28000.0;78.9;1;3;1281.1;1961;20.0;38.4;5;2;56.966667;23.153333;2.0;2024;1;0;0;0
1500.0;214.63;2;2;326.4;1958;40.0;41.9;5;1;56.968611;21.971667;1.0;2024;1;0;0;0
28000.0;75.33;1;4;1568.9;1976;15.0;37.3;4;1;56.889167;21.176944;4.0;2024;1;0;0;0
33000.0;61.08;1;4;2124.1;1967;35.0;39.9;7;2;57.246667;22.588611;2.0;2024;1;0;0;0
22981.5;69.89;1;5;4744.3;1986;27.0;49.6;8;2;56.966667;23.153333;3.0;2024;1;0;0;0
13500.0;93.33;3;2;612.7;1882;60.0;31.8;4;2;56.968611;21.971667;1.0;2024;1;0;0;0
23000.0;95.74;1;3;664.7;1966;20.0;34.7;4;1;56.535;21.166111;2.0;2024;1;0;0;0
2200.0;27.0;3;3;483.8;1840;50.0;22.6;2;1;57.0375;22.775;2.0;2024;1;0;0;0
10000.0;54.87;1;2;398.0;1890;60.0;52.5;4;2;56.968611;21.971667;2.0;2024;1;0;0;0
29000.0;275.64;1;2;311.1;1890;65.0;74.9;8;2;56.968611;21.971667;1.0;2023;0;0;0;1
15800.0;98.44;3;4;1708.4;1960;18.0;40.5;5;2;56.666389;22.493611;1.0;2024;1;0;0;0
4000.0;151.97;2;4;2842.5;1972;30.0;49.2;7;2;57.0375;22.775;2.0;2024;1;0;0;0
10000.0;48.2;1;3;217.1;1900;45.0;36.2;5;2;57.0375;22.775;3.0;2024;1;0;0;0
26000.0;104.43;1;4;1686.5;1974;10.0;71.1;9;3;56.966667;23.153333;3.0;2024;1;0;0;0
7000.0;93.17;1;2;433.1;1980;10.0;29.3;4;1;56.666389;22.493611;1.0;2024;1;0;0;0
30000.0;31.59;1;5;3393.7;1971;30.0;49.6;9;2;56.966667;23.153333;4.0;2024;1;0;0;0
10700.0;305.72;2;2;254.2;1910;60.0;104.4;6;3;57.246667;22.588611;1.0;2024;1;0;0;0
