Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
2800.0;49.31;2;5;866.9;1987;25;34.2;4;1;55.875;26.535556;4.0;2019;0;0;0;1
28000.0;53.43;1;5;4677.3;1988;10;65.8;8;3;55.875;26.535556;5.0;2020;0;0;0;1
3000.0;28.14;1;9;3728.5;1967;45;31.0;4;1;55.875;26.535556;3.0;2020;0;0;0;1
3500.0;25.73;1;5;3560.8;1972;40;32.3;5;1;55.875;26.535556;3.0;2020;0;0;0;1
14900.0;28.24;1;9;2584.4;1972;45;50.8;6;2;55.875;26.535556;1.0;2020;0;0;0;1
2000.0;36.93;1;5;2372.4;1969;45;25.1;4;1;55.875;26.535556;1.0;2020;0;0;0;1
8000.0;53.82;1;3;812.6;1953;40;44.1;5;2;55.875;26.535556;1.0;2020;0;0;0;1
4500.0;47.97;1;5;2724.1;1964;40;54.7;8;3;55.875;26.535556;5.0;2020;0;0;0;1
6800.0;49.07;1;5;6775.8;1966;45;52.1;7;2;55.875;26.535556;4.0;2020;0;0;0;1
5000.0;43.99;1;5;3609.6;1980;30;31.7;4;1;55.875;26.535556;3.0;2020;0;0;0;1
3100.0;44.15;1;5;3330.2;1965;40;30.5;5;1;55.875;26.535556;5.0;2020;0;0;0;1
6000.0;53.93;1;5;5319.0;1985;15;61.4;9;4;55.875;26.535556;4.0;2020;0;0;0;1
15000.0;46.9;1;5;3549.9;1982;30;60.1;8;3;55.875;26.535556;2.0;2020;0;0;0;1
22000.0;58.65;1;5;3213.6;1974;30;52.3;7;2;55.875;26.535556;5.0;2020;0;0;0;1
6500.0;46.84;1;5;2180.8;1986;10;35.9;4;1;55.875;26.535556;5.0;2020;0;0;0;1
12000.0;207.05;1;2;586.0;1950;40;53.8;6;3;55.875;26.535556;1.0;2020;0;0;0;1
5000.0;57.83;1;5;5502.5;1992;10;53.2;7;2;55.875;26.535556;2.0;2020;0;0;0;1
4000.0;35.65;1;5;3443.9;1964;40;30.7;5;1;55.875;26.535556;2.0;2020;0;0;0;1
6500.0;40.59;1;5;5273.3;1983;20;46.7;7;2;55.875;26.535556;5.0;2018;1;0;0;0
3500.0;29.28;1;5;3949.5;1986;20;55.0;7;2;55.875;26.535556;3.0;2020;0;0;0;1
3000.0;32.97;1;5;4796.1;1989;10;46.3;6;2;55.875;26.535556;4.0;2020;0;0;0;1
5000.0;32.02;1;5;3560.8;1972;40;37.9;6;2;55.875;26.535556;5.0;2020;0;0;0;1
8000.0;48.96;1;4;1483.8;1959;40;29.4;4;1;55.875;26.535556;2.0;2020;0;0;0;1
3900.0;235.17;6;2;526.2;1971;40;31.5;4;2;55.875;26.535556;2.0;2020;0;0;0;1
3500.0;50.23;1;5;2380.6;1969;40;35.2;6;2;55.875;26.535556;1.0;2020;0;0;0;1
4500.0;69.18;1;5;5424.0;1973;25;46.3;7;2;55.875;26.535556;3.0;2020;0;0;0;1
10500.0;47.1;1;5;2180.8;1986;10;36.1;4;1;55.875;26.535556;2.0;2020;0;0;0;1
30000.0;79.53;1;3;585.2;1910;50;76.3;8;3;55.875;26.535556;3.0;2020;0;0;0;1
8000.0;42.01;1;5;4998.2;1986;25;39.1;6;2;55.875;26.535556;5.0;2020;0;0;0;1
4500.0;26.13;1;5;3570.6;1975;35;28.8;4;1;55.875;26.535556;1.0;2020;0;0;0;1
