Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
63000.0;36.25;1;9;4957.4;1982;10;50.4;5;2;7.0;2019;0;0;0;1;56.9405373;24.2030058
77000.0;21.19;1;9;11940.4;2017;0;41.4;4;2;8.0;2019;0;0;0;1;56.9886702;24.1689025
147240.0;130.38;1;5;5337.7;2019;0;85.1;10;4;3.0;2019;0;0;0;1;56.9556183;24.1854622
38500.0;41.8;1;16;7071.1;1991;5;44.5;5;1;15.0;2019;0;0;0;1;56.9414233;24.2037897
77500.0;72.01;1;5;5337.7;2019;0;47.0;4;2;3.0;2019;0;0;0;1;56.9556183;24.1854622
120700.0;100.66;1;5;5337.7;2019;0;65.7;7;3;4.0;2019;0;0;0;1;56.9556183;24.1854622
96309.0;49.62;1;5;6246.9;1904;35;138.6;8;5;3.0;2019;0;0;0;1;56.9440245;24.0794221
55847.0;26.35;1;5;6246.9;1904;35;73.6;6;3;2.0;2019;0;0;0;1;56.9440245;24.0794221
197000.0;136.76;1;4;2973.9;1974;10;159.9;8;2;3.5;2019;0;0;0;1;56.9753219;24.1842709
32000.0;59.02;2;5;2536.4;1971;25;46.0;4;2;1.0;2019;0;0;0;1;57.009224;24.1251458
26000.0;702.32;8;2;248.0;1870;55;92.7;8;2;1.0;2018;0;0;1;0;56.9153539;24.1320306
45000.0;99.36;1;5;3404.1;1962;30;58.0;7;3;1.0;2019;0;0;0;1;56.9860934;24.2417653
35000.0;89.09;1;5;2234.6;1979;15;66.7;10;3;2.0;2019;0;0;0;1;57.0337053;24.056596
62000.0;38.29;1;10;8609.8;1989;10;70.0;9;3;1.0;2019;0;0;0;1;56.9036301;24.0946831
8300.0;62.24;2;2;476.8;1912;65;26.9;3;1;1.0;2019;0;0;0;1;56.9172123;24.086832
9500.0;65.94;2;2;493.1;1900;60;28.5;2;1;1.0;2019;0;0;0;1;56.917344;24.0874689
99300.0;54.07;1;5;6955.6;2019;0;65.6;6;3;1.0;2019;0;0;0;1;56.9556201;24.0534049
7500.0;22.03;7;3;1127.0;1915;60;22.7;2;1;3.0;2019;0;0;0;1;56.9929495;24.1278353
11000.0;25.45;1;5;3575.6;1913;60;21.1;3;1;2.0;2019;0;0;0;1;56.9942483;24.1282463
9000.0;23.28;1;5;3575.6;1913;60;19.3;2;1;4.0;2019;0;0;0;1;56.9942483;24.1282463
64000.0;99.59;1;6;4141.3;1963;30;74.7;6;2;6.0;2019;0;0;0;1;56.9878099;24.2172112
90500.0;76.61;1;5;5337.7;2019;0;50.0;4;2;3.0;2019;0;0;0;1;56.9556183;24.1854622
68500.0;48.08;1;11;6860.5;1991;5;76.8;13;3;9.0;2019;0;0;0;1;56.9014011;24.0882291
78400.0;63.2;1;4;2336.1;1897;55;56.5;6;2;4.0;2019;0;0;0;1;56.964351;24.1392434
16000.0;23.51;1;4;1847.2;1920;50;36.8;6;2;3.0;2019;0;0;0;1;56.9393727;24.1268232
150000.0;37.76;3;24;17263.9;2006;0;95.3;7;2;16.0;2019;0;0;0;1;56.9594336;24.0142317
11800.0;109.15;4;2;215.6;1913;65;22.0;4;1;2.0;2019;0;1;0;0;56.9209426;24.0825142
22000.0;55.08;1;5;2195.1;1974;25;49.3;7;2;5.0;2019;0;0;0;1;57.0323385;24.0539082
34000.0;33.02;1;4;1847.2;1920;50;52.7;6;2;3.0;2019;0;0;0;1;56.9393727;24.1268232
36700.0;79.91;1;3;739.9;1926;50;47.3;5;2;1.0;2019;0;1;0;0;56.9798962;24.1917818
50000.0;79.15;3;9;9860.0;1973;20;59.6;9;3;6.0;2019;0;0;0;1;56.9727233;24.1324244
111000.0;98.84;1;9;3033.0;2019;0;64.7;6;3;4.0;2019;0;0;0;1;56.9694342;24.2369351
