Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
195400.0;55.5;1;10;5256.0;2022;0.0;86.1;8;4;2.0;2023;0;0;0;1;56.9656626;24.2341883
158400.0;43.45;1;10;5256.0;2022;0.0;67.4;7;3;1.0;2023;0;0;0;1;56.9656626;24.2341883
103300.0;43.29;1;7;4195.8;2023;0.0;45.8;4;2;5.0;2023;0;0;0;1;56.9527742;24.2129029
100000.0;91.98;2;4;1986.8;2018;0.0;59.4;4;2;2.0;2023;0;0;0;1;56.941709;24.0213824
326600.0;42.94;1;7;10585.7;2023;0.0;92.1;9;4;5.0;2023;0;0;0;1;56.9667944;24.1034056
131528.0;23.38;1;9;6814.7;2022;0.0;51.1;5;2;5.0;2023;0;0;0;1;56.9524622;24.007836
135857.0;23.38;1;9;6814.7;2022;0.0;51.1;5;2;7.0;2023;0;0;0;1;56.9524622;24.007836
73000.0;30.95;1;2;431.2;1899;33.0;49.7;3;2;2.0;2023;0;0;0;1;56.9520795;24.1430862
25000.0;79.56;2;2;462.6;1900;70.0;22.7;2;1;2.0;2023;0;1;0;0;56.9383475;24.0746005
7500.0;24.5;2;3;317.6;1908;55.0;22.6;2;1;1.0;2023;0;0;0;1;56.9938686;24.1263558
150000.0;64.51;1;7;4196.0;2022;0.0;60.1;5;3;3.0;2024;0;0;0;1;56.9526444;24.2137827
54000.0;180.67;2;2;414.2;1952;30.0;44.3;7;2;2.0;2024;0;0;0;1;56.9738813;24.1118015
42000.0;24.11;1;11;6875.8;2004;12.0;31.2;4;1;2.0;2024;0;0;0;1;57.0093085;24.1277625
190000.0;48.95;1;5;13748.4;2007;0.0;119.6;6;3;2.0;2024;0;0;0;1;56.9590978;24.0828538
76000.0;21.68;1;8;3219.8;1909;50.0;84.1;9;4;2.0;2023;0;0;0;1;56.9499895;24.1318594
70000.0;71.61;1;5;750.5;1969;40.0;53.2;8;2;4.0;2024;0;0;0;1;56.9900533;24.2396548
27000.0;39.48;1;5;2071.0;1979;20.0;50.7;8;2;4.0;2023;0;0;0;1;57.0328899;24.100794
30000.0;100.74;1;5;4913.0;1966;30.0;57.1;8;3;1.0;2023;0;0;0;1;56.9777791;24.2495129
37000.0;24.97;1;10;5848.5;1989;16.0;35.9;7;1;7.0;2023;0;0;0;1;56.8992993;24.0959416
87172.0;33.35;1;12;5823.7;2022;0.0;39.8;4;2;9.0;2023;0;0;0;1;56.9939864;24.1647615
178400.0;40.81;1;10;5256.0;2022;0.0;63.3;6;3;10.0;2023;0;0;0;1;56.9656626;24.2341883
202400.0;55.63;1;10;5256.0;2022;0.0;86.3;8;4;3.0;2023;0;0;0;1;56.9656626;24.2341883
317200.0;42.89;1;7;10585.7;2023;0.0;92.0;9;4;3.0;2023;0;1;0;0;56.9667944;24.1034056
168000.0;23.03;1;7;10585.7;2023;0.0;49.4;4;2;3.0;2023;0;0;0;1;56.9667944;24.1034056
165000.0;23.17;1;7;10585.7;2023;0.0;49.7;4;2;2.0;2023;0;0;0;1;56.9667944;24.1034056
167000.0;23.12;1;7;10585.7;2023;0.0;49.6;4;2;3.0;2023;0;0;0;1;56.9667944;24.1034056
137358.0;23.38;1;9;6814.7;2022;0.0;51.1;5;2;8.0;2023;0;0;0;1;56.9524622;24.007836
65010.0;183.5;4;2;778.2;1880;65.0;117.5;9;5;1.0;2023;0;0;0;1;56.9578763;24.1520767
45000.0;68.83;1;5;3413.4;1964;30.0;52.2;7;3;5.0;2023;0;0;0;1;56.9693748;24.1847486
143000.0;24.73;1;6;5661.0;1912;40.0;78.9;9;4;4.0;2023;0;0;0;1;56.9539967;24.1309389
61600.0;61.34;1;9;6099.3;1982;30.0;77.9;13;3;6.0;2024;0;0;0;1;56.951668;24.1746187
27000.0;27.23;1;9;3881.2;1968;31.0;27.8;5;1;7.0;2023;0;0;0;1;56.9999927;24.1292182
52000.0;32.67;1;13;5109.7;1970;31.0;33.9;3;1;10.0;2023;0;0;0;1;56.9141098;24.1684236
36500.0;80.05;1;9;2507.1;1978;15.0;49.6;7;2;8.0;2024;0;0;0;1;56.9565163;24.1995201
68000.0;37.81;1;3;1437.8;1912;52.0;30.7;3;2;-1.0;2023;0;0;0;1;56.9732479;24.1735877
41500.0;111.82;1;5;4104.1;1973;30.0;70.1;9;3;2.0;2023;0;0;0;1;56.9617172;24.0009135
58000.0;30.29;1;5;1357.4;1920;28.0;29.3;2;1;5.0;2024;0;0;0;1;56.9376818;24.1460054
30000.0;38.1;1;5;3358.2;1968;30.0;25.9;4;1;3.0;2023;0;0;0;1;56.9902197;24.2378285
220000.0;54.07;1;6;8895.0;2016;1.0;77.5;5;2;4.0;2023;1;0;0;0;56.9685302;24.126552
79750.0;25.64;5;6;1946.6;1909;49.0;54.5;6;3;2.0;2024;0;0;0;1;56.9580365;24.1484374
38000.0;15.17;3;6;913.3;1890;59.0;46.9;4;2;3.0;2023;0;0;1;0;56.9432622;24.1334991
145170.0;71.06;1;12;5823.7;2022;0.0;84.8;5;2;2.0;2023;0;0;0;1;56.9939864;24.1647615
25000.0;53.05;1;5;4653.5;1962;35.0;45.0;7;2;2.0;2023;0;0;0;1;56.9857878;24.2390658
30000.0;39.81;1;5;3751.2;1967;30.0;43.2;6;2;5.0;2023;0;0;0;1;56.9166237;24.1735057
154900.0;45.12;1;10;5256.0;2022;0.0;70.0;7;3;2.0;2023;0;0;0;1;56.9656626;24.2341883
158900.0;45.12;1;10;5256.0;2022;0.0;70.0;7;3;4.0;2023;0;0;0;1;56.9656626;24.2341883
174000.0;23.08;1;7;10585.7;2023;0.0;49.5;4;2;5.0;2023;0;0;0;1;56.9667944;24.1034056
69000.0;19.31;2;5;1723.7;1912;30.0;40.4;5;2;2.0;2023;0;0;0;1;56.9563671;24.1350602
50000.0;46.79;1;14;4781.4;1973;30.0;47.9;7;2;5.0;2023;0;0;0;1;56.986556;24.2290701
6000.0;47.49;1;5;5921.8;1968;35.0;51.2;8;2;4.0;2024;0;0;0;1;56.9038715;24.2010078
168500.0;50.38;1;9;6685.1;2021;0.0;88.2;6;4;1.0;2024;0;0;0;1;56.9646795;24.1865077
10000.0;231.21;1;2;862.6;1872;60.0;36.1;3;2;1.0;2024;0;0;0;1;56.9400346;24.0923112
88000.0;27.24;3;4;873.9;1920;48.0;49.2;4;2;4.0;2024;0;0;0;1;56.9657666;24.1419358
110000.0;15.79;1;5;1888.3;2021;0.0;45.7;4;2;4.0;2024;0;0;0;1;56.9400893;24.126575
37000.0;16.64;2;5;971.6;1911;50.0;33.8;6;1;1.0;2024;0;0;0;1;56.9745309;24.144122
132000.0;18.07;2;8;5315.2;1911;21.0;72.1;9;4;2.0;2024;0;0;0;1;56.9558383;24.1296738
142000.0;44.16;3;5;2886.3;1912;44.0;117.5;11;5;3.0;2023;0;0;0;1;56.9533205;24.1350658
1000.0;67.02;1;2;982.0;1954;50.0;18.8;1;1;1.0;2024;0;0;0;1;56.9879441;24.1851787
186000.0;25.5;1;7;10585.7;2023;0.0;54.7;4;2;3.0;2023;0;0;0;1;56.9667944;24.1034056
266737.0;57.06;1;7;10585.7;2023;0.0;122.4;7;3;4.0;2023;0;0;0;1;56.9667944;24.1034056
62000.0;31.86;1;10;4934.0;1990;10.0;50.9;8;2;6.0;2024;0;0;0;1;56.9018092;24.0973821
44000.0;17.34;3;5;1394.9;1900;27.0;27.9;2;2;5.0;2024;0;0;0;1;56.9551182;24.1438621
34000.0;48.26;1;5;1902.2;1967;15.0;40.5;5;2;2.0;2024;0;0;0;1;56.9399511;24.0364433
46000.0;47.43;1;5;4619.7;1964;30.0;44.2;7;2;1.0;2024;0;0;0;1;56.9786705;24.24615
12000.0;113.62;9;2;237.1;1910;60.0;41.9;4;1;2.0;2024;0;0;0;1;56.9353864;24.1579155
25000.0;56.09;1;5;5021.7;1971;30.0;50.1;7;2;3.0;2024;0;0;0;1;56.9622293;24.0272559
48000.0;71.38;1;5;4533.6;1960;35.0;45.5;5;2;3.0;2024;0;0;0;1;56.9464791;24.0671918
140000.0;23.47;3;6;3614.8;1914;31.0;74.3;6;3;2.0;2024;0;0;0;1;56.9538748;24.1227894
35000.0;52.71;1;10;9558.9;1986;28.0;60.9;9;2;2.0;2024;0;0;0;1;56.9463889;24.0031105
26000.0;67.61;1;5;6604.0;1977;30.0;48.7;8;2;2.0;2024;0;0;0;1;57.0314072;24.0572838
160900.0;43.19;1;10;5256.0;2022;0.0;67.0;7;3;7.0;2023;0;0;0;1;56.9656626;24.2341883
12500.0;53.91;1;4;3383.6;1905;42.0;27.5;3;2;4.0;2024;0;0;0;1;56.9438751;24.1577078
52000.0;44.97;1;12;5400.2;1986;19.0;75.2;8;3;1.0;2024;0;0;0;1;56.946599;24.1919208
102000.0;33.35;1;12;5823.7;2022;0.0;39.8;4;2;9.0;2023;0;0;0;1;56.9939864;24.1647615
103300.0;44.71;1;7;4195.8;2023;0.0;47.3;4;2;2.0;2024;0;0;0;1;56.9527742;24.2129029
36000.0;55.08;1;5;5945.0;1979;15.0;49.3;8;2;5.0;2024;0;0;0;1;56.9527049;24.1992783
49000.0;77.13;1;5;5043.3;1981;29.0;55.1;7;2;3.0;2024;0;0;0;1;56.9471177;24.1710416
114000.0;24.0;1;5;4513.7;2019;0.0;49.1;3;2;1.0;2024;0;0;0;1;56.9750308;24.1420713
28000.0;40.73;1;5;4161.7;1982;28.0;38.6;6;1;4.0;2024;0;0;0;1;56.9495175;24.2030907
35000.0;66.85;1;5;4723.5;1965;30.0;47.5;7;2;4.0;2024;0;0;0;1;56.9778958;24.2454324
36000.0;32.15;2;4;1486.9;1920;60.0;31.0;5;1;1.0;2023;0;0;0;1;56.9668292;24.1385954
120000.0;41.88;3;6;3517.4;1914;34.0;104.4;11;5;3.0;2024;0;0;0;1;56.9647163;24.1414536
19100.0;113.08;1;4;1632.5;1961;40.0;44.2;6;2;3.0;2024;0;0;0;1;56.9351797;24.0378901
155000.0;15.78;2;7;7047.3;2018;2.0;42.4;3;2;3.0;2023;0;0;0;1;56.9592868;24.1162982
44000.0;88.45;1;3;1465.2;1956;55.0;69.6;8;3;2.0;2023;0;0;0;1;56.9687159;24.1681088
49250.0;63.55;1;5;2547.2;1971;30.0;48.6;7;2;3.0;2023;0;0;0;1;56.9430677;24.0719597
91000.0;25.32;3;5;2558.1;1911;39.0;64.7;6;3;4.0;2023;0;0;0;1;56.9541855;24.1331057
83000.0;41.11;1;7;4192.0;2022;0.0;45.9;4;2;5.0;2023;0;0;0;1;56.9522839;24.212676
335200.0;42.94;1;7;10585.7;2023;0.0;92.1;9;4;6.0;2023;0;0;0;1;56.9667944;24.1034056
